"Date","Supply on Exchanges"
"2019-12-27T00:00:00.000Z","1957070.3279474687"
"2019-12-28T00:00:00.000Z","1961442.8032428594"
"2019-12-29T00:00:00.000Z","1963450.7709497593"
"2019-12-30T00:00:00.000Z","1965478.0780566891"
"2019-12-31T00:00:00.000Z","1958147.1701771994"
"2020-01-01T00:00:00.000Z","1961506.9920873593"
"2020-01-02T00:00:00.000Z","1963915.6671112494"
"2020-01-03T00:00:00.000Z","1966312.1238360293"
"2020-01-04T00:00:00.000Z","1971883.0942651103"
"2020-01-05T00:00:00.000Z","1972941.5993273403"
"2020-01-06T00:00:00.000Z","1974258.1087423502"
"2020-01-07T00:00:00.000Z","1977841.2412826405"
"2020-01-08T00:00:00.000Z","1977460.0566303504"
"2020-01-09T00:00:00.000Z","1982239.3724228207"
"2020-01-10T00:00:00.000Z","1987749.307661881"
"2020-01-11T00:00:00.000Z","1986758.0363164411"
"2020-01-12T00:00:00.000Z","1986839.301598461"
"2020-01-13T00:00:00.000Z","1988793.9967471708"
"2020-01-14T00:00:00.000Z","2004754.982265109"
"2020-01-15T00:00:00.000Z","2010319.3286745686"
"2020-01-16T00:00:00.000Z","2003915.9930331283"
"2020-01-17T00:00:00.000Z","2004142.9779863684"
"2020-01-18T00:00:00.000Z","1989534.9084351189"
"2020-01-19T00:00:00.000Z","1992254.0680839687"
"2020-01-20T00:00:00.000Z","1989971.429294539"
"2020-01-21T00:00:00.000Z","1993146.3499845087"
"2020-01-22T00:00:00.000Z","1989997.1334133286"
"2020-01-23T00:00:00.000Z","1996510.9330511775"
"2020-01-24T00:00:00.000Z","1995123.9613840175"
"2020-01-25T00:00:00.000Z","1994504.4053061972"
"2020-01-26T00:00:00.000Z","1994414.1110666473"
"2020-01-27T00:00:00.000Z","1997803.7657723674"
"2020-01-28T00:00:00.000Z","2001931.2926464675"
"2020-01-29T00:00:00.000Z","2007196.6198831773"
"2020-01-30T00:00:00.000Z","2006835.7679155872"
"2020-01-31T00:00:00.000Z","1998318.8633324574"
"2020-02-01T00:00:00.000Z","2002067.338144087"
"2020-02-02T00:00:00.000Z","2001940.2378289269"
"2020-02-03T00:00:00.000Z","2005647.7764884005"
"2020-02-04T00:00:00.000Z","2009812.9509652716"
"2020-02-05T00:00:00.000Z","2011485.9375198914"
"2020-02-06T00:00:00.000Z","2012010.1300976817"
"2020-02-07T00:00:00.000Z","2011311.7265294115"
"2020-02-08T00:00:00.000Z","2002232.5242293512"
"2020-02-09T00:00:00.000Z","2009710.1713694816"
"2020-02-10T00:00:00.000Z","2003034.7635141015"
"2020-02-11T00:00:00.000Z","2008600.2165628015"
"2020-02-12T00:00:00.000Z","2016526.1027775514"
"2020-02-13T00:00:00.000Z","2009391.134098151"
"2020-02-14T00:00:00.000Z","2009830.0104082313"
"2020-02-15T00:00:00.000Z","2011964.2802615913"
"2020-02-16T00:00:00.000Z","2015195.5294088514"
"2020-02-17T00:00:00.000Z","2014415.9852239415"
"2020-02-18T00:00:00.000Z","2016735.5555308713"
"2020-02-19T00:00:00.000Z","2015376.086896501"
"2020-02-20T00:00:00.000Z","2013967.4849698113"
"2020-02-21T00:00:00.000Z","2004416.5955948918"
"2020-02-22T00:00:00.000Z","2007085.4705271216"
"2020-02-23T00:00:00.000Z","1988379.5823576814"
"2020-02-24T00:00:00.000Z","1988041.2395760114"
"2020-02-25T00:00:00.000Z","1987208.2870909513"
"2020-02-26T00:00:00.000Z","1988039.653313341"
"2020-02-27T00:00:00.000Z","1990508.1518107313"
"2020-02-28T00:00:00.000Z","1990219.3986427712"
"2020-02-29T00:00:00.000Z","1989733.7098751513"
"2020-03-01T00:00:00.000Z","1989582.4876912811"
"2020-03-02T00:00:00.000Z","1993292.8317398513"
"2020-03-03T00:00:00.000Z","1989950.3942495615"
"2020-03-04T00:00:00.000Z","1978843.077142213"
"2020-03-05T00:00:00.000Z","1973844.0197039028"
"2020-03-06T00:00:00.000Z","1961120.6921137224"
"2020-03-07T00:00:00.000Z","1962853.4577800725"
"2020-03-08T00:00:00.000Z","1965453.7031132826"
"2020-03-09T00:00:00.000Z","1986301.8156623729"
"2020-03-10T00:00:00.000Z","1992132.9224967328"
"2020-03-11T00:00:00.000Z","1990103.6830365832"
"2020-03-12T00:00:00.000Z","2007943.7025319797"
"2020-03-13T00:00:00.000Z","2034375.6106201909"
"2020-03-14T00:00:00.000Z","2026668.3720597806"
"2020-03-15T00:00:00.000Z","2033424.5761453514"
"2020-03-16T00:00:00.000Z","2017570.5050253915"
"2020-03-17T00:00:00.000Z","2024981.7643483123"
"2020-03-18T00:00:00.000Z","2016404.6661713924"
"2020-03-19T00:00:00.000Z","1989514.453624772"
"2020-03-20T00:00:00.000Z","1990108.9942612732"
"2020-03-21T00:00:00.000Z","1982518.1269605432"
"2020-03-22T00:00:00.000Z","1984848.9016782932"
"2020-03-23T00:00:00.000Z","1976994.8251032834"
"2020-03-24T00:00:00.000Z","1959849.9984105518"
"2020-03-25T00:00:00.000Z","1954327.8348912923"
"2020-03-26T00:00:00.000Z","1952595.9887489618"
"2020-03-27T00:00:00.000Z","1942367.0951972113"
"2020-03-28T00:00:00.000Z","1941537.5868461113"
"2020-03-29T00:00:00.000Z","1946894.6559874015"
"2020-03-30T00:00:00.000Z","1951432.5116402518"
"2020-03-31T00:00:00.000Z","1947910.9618221216"
"2020-04-01T00:00:00.000Z","1943358.2801477541"
"2020-04-02T00:00:00.000Z","1946816.828015654"
"2020-04-03T00:00:00.000Z","1942873.2338209238"
"2020-04-04T00:00:00.000Z","1940901.9023800844"
"2020-04-05T00:00:00.000Z","1938535.4402966944"
"2020-04-06T00:00:00.000Z","1943920.344478595"
"2020-04-07T00:00:00.000Z","1948736.2143253954"
"2020-04-08T00:00:00.000Z","1944654.9852728655"
"2020-04-09T00:00:00.000Z","1938921.6302009353"
"2020-04-10T00:00:00.000Z","1932637.1829906055"
"2020-04-11T00:00:00.000Z","1927515.1238608055"
"2020-04-12T00:00:00.000Z","1924716.4598831555"
"2020-04-13T00:00:00.000Z","1915782.583741806"
"2020-04-14T00:00:00.000Z","1916541.210434966"
"2020-04-15T00:00:00.000Z","1919800.927324687"
"2020-04-16T00:00:00.000Z","1927434.2612993864"
"2020-04-17T00:00:00.000Z","1916183.1674289769"
"2020-04-18T00:00:00.000Z","1916938.878434176"
"2020-04-19T00:00:00.000Z","1920340.557146576"
"2020-04-20T00:00:00.000Z","1918438.785309406"
"2020-04-21T00:00:00.000Z","1919269.213641936"
"2020-04-22T00:00:00.000Z","1908538.7142386462"
"2020-04-23T00:00:00.000Z","1917560.237970886"
"2020-04-24T00:00:00.000Z","1911741.6442005453"
"2020-04-25T00:00:00.000Z","1913637.247872285"
"2020-04-26T00:00:00.000Z","1907811.653694675"
"2020-04-27T00:00:00.000Z","1910702.3288568647"
"2020-04-28T00:00:00.000Z","1906251.3570487748"
"2020-04-29T00:00:00.000Z","1910644.4091930059"
"2020-04-30T00:00:00.000Z","1927828.0981565064"
"2020-05-01T00:00:00.000Z","1926190.0788812458"
"2020-05-02T00:00:00.000Z","1927988.5858753554"
"2020-05-03T00:00:00.000Z","1929428.984057695"
"2020-05-04T00:00:00.000Z","1930187.2998522248"
"2020-05-05T00:00:00.000Z","1927330.551196275"
"2020-05-06T00:00:00.000Z","1922771.4069462346"
"2020-05-07T00:00:00.000Z","1914916.0563331146"
"2020-05-08T00:00:00.000Z","1921448.5789383042"
"2020-05-09T00:00:00.000Z","1924699.2488466133"
"2020-05-10T00:00:00.000Z","1928531.6915115034"
"2020-05-11T00:00:00.000Z","1920282.8454351532"
"2020-05-12T00:00:00.000Z","1900056.5675246143"
"2020-05-13T00:00:00.000Z","1884732.746421435"
"2020-05-14T00:00:00.000Z","1884714.451490815"
"2020-05-15T00:00:00.000Z","1885184.108415445"
"2020-05-16T00:00:00.000Z","1882331.869464155"
"2020-05-17T00:00:00.000Z","1882405.9649929653"
"2020-05-18T00:00:00.000Z","1882840.0801599051"
"2020-05-19T00:00:00.000Z","1880940.3216201449"
"2020-05-20T00:00:00.000Z","1882323.320959765"
"2020-05-21T00:00:00.000Z","1888349.476046985"
"2020-05-22T00:00:00.000Z","1889232.5060128856"
"2020-05-23T00:00:00.000Z","1890738.861161796"
"2020-05-24T00:00:00.000Z","1889752.7807859357"
"2020-05-25T00:00:00.000Z","1883399.2289484672"
"2020-05-26T00:00:00.000Z","1882443.2291378372"
"2020-05-27T00:00:00.000Z","1880277.662410097"
"2020-05-28T00:00:00.000Z","1880718.0267429363"
"2020-05-29T00:00:00.000Z","1881937.073998136"
"2020-05-30T00:00:00.000Z","1883789.331983226"
"2020-05-31T00:00:00.000Z","1887255.6586856458"
"2020-06-01T00:00:00.000Z","1887567.2138783156"
"2020-06-02T00:00:00.000Z","1890465.1327773058"
"2020-06-03T00:00:00.000Z","1890550.3700762654"
"2020-06-04T00:00:00.000Z","1890760.814491915"
"2020-06-05T00:00:00.000Z","1888643.506949595"
"2020-06-06T00:00:00.000Z","1888917.929557435"
"2020-06-07T00:00:00.000Z","1889372.5268288748"
"2020-06-08T00:00:00.000Z","1890514.878195555"
"2020-06-09T00:00:00.000Z","1887773.355923275"
"2020-06-10T00:00:00.000Z","1884119.9666031147"
"2020-06-11T00:00:00.000Z","1892105.7844371435"
"2020-06-12T00:00:00.000Z","1888285.5136850832"
"2020-06-13T00:00:00.000Z","1889203.1059386833"
"2020-06-14T00:00:00.000Z","1889909.929280213"
"2020-06-15T00:00:00.000Z","1882681.0140225934"
"2020-06-16T00:00:00.000Z","1883784.5820029736"
"2020-06-17T00:00:00.000Z","1887881.5211399833"
"2020-06-18T00:00:00.000Z","1811693.0361562134"
"2020-06-19T00:00:00.000Z","1853177.8616932735"
"2020-06-20T00:00:00.000Z","1853560.9574024137"
"2020-06-21T00:00:00.000Z","1858217.4980778631"
"2020-06-22T00:00:00.000Z","1859258.309322523"
"2020-06-23T00:00:00.000Z","1851575.9459869831"
"2020-06-24T00:00:00.000Z","1860770.2521512038"
"2020-06-25T00:00:00.000Z","1859173.127535014"
"2020-06-26T00:00:00.000Z","1864845.7945309936"
"2020-06-27T00:00:00.000Z","1865573.0058492636"
"2020-06-28T00:00:00.000Z","1868213.4683930639"
"2020-06-29T00:00:00.000Z","1865833.364046414"
"2020-06-30T00:00:00.000Z","1858059.9843082638"
"2020-07-01T00:00:00.000Z","1864141.9376596431"
"2020-07-02T00:00:00.000Z","1864582.175196343"
"2020-07-03T00:00:00.000Z","1863244.030930343"
"2020-07-04T00:00:00.000Z","1865173.566666183"
"2020-07-05T00:00:00.000Z","1864710.5506126028"
"2020-07-06T00:00:00.000Z","1868408.7747470536"
"2020-07-07T00:00:00.000Z","1869206.1083282535"
"2020-07-08T00:00:00.000Z","1876394.7672782233"
"2020-07-09T00:00:00.000Z","1884444.7596317928"
"2020-07-10T00:00:00.000Z","1885621.2832298228"
"2020-07-11T00:00:00.000Z","1890494.1980152025"
"2020-07-12T00:00:00.000Z","1889781.2184978228"
"2020-07-13T00:00:00.000Z","1885859.1475080333"
"2020-07-14T00:00:00.000Z","1888402.1628901435"
"2020-07-15T00:00:00.000Z","1891182.3608646034"
"2020-07-16T00:00:00.000Z","1889071.6234865435"
"2020-07-17T00:00:00.000Z","1889394.7596692536"
"2020-07-18T00:00:00.000Z","1890311.5151845836"
"2020-07-19T00:00:00.000Z","1890054.1906679235"
"2020-07-20T00:00:00.000Z","1887161.6489676435"
"2020-07-21T00:00:00.000Z","1884005.9414276036"
"2020-07-22T00:00:00.000Z","1890045.2279876738"
"2020-07-23T00:00:00.000Z","1890775.649379884"
"2020-07-24T00:00:00.000Z","1888953.0560954337"
"2020-07-25T00:00:00.000Z","1888807.9450962837"
"2020-07-26T00:00:00.000Z","1896175.817416053"
"2020-07-27T00:00:00.000Z","1908451.1425429531"
"2020-07-28T00:00:00.000Z","1921725.948593603"
"2020-07-29T00:00:00.000Z","1918255.874001533"
"2020-07-30T00:00:00.000Z","1924478.7634018725"
"2020-07-31T00:00:00.000Z","1922810.9386703128"
"2020-08-01T00:00:00.000Z","1931742.6032174726"
"2020-08-02T00:00:00.000Z","1935131.2678290524"
"2020-08-03T00:00:00.000Z","1859373.5254039224"
"2020-08-04T00:00:00.000Z","1863946.2682964522"
"2020-08-05T00:00:00.000Z","1854655.4649429724"
"2020-08-06T00:00:00.000Z","1860255.1021932424"
"2020-08-07T00:00:00.000Z","1850138.6847213332"
"2020-08-08T00:00:00.000Z","1848158.7782237926"
"2020-08-09T00:00:00.000Z","1850411.8262369926"
"2020-08-10T00:00:00.000Z","1844512.8372555026"
"2020-08-11T00:00:00.000Z","1845186.1180068129"
"2020-08-12T00:00:00.000Z","1840145.1255680323"
"2020-08-13T00:00:00.000Z","1841375.6371621322"
