datetime,litecoin_price_usd
2020-02-16 00:00:00+00:00,75.15259112
2020-02-17 00:00:00+00:00,73.25130447
2020-02-18 00:00:00+00:00,77.03518149
2020-02-19 00:00:00+00:00,71.13594006
2020-02-20 00:00:00+00:00,69.62484632
2020-02-21 00:00:00+00:00,73.4858627398
2020-02-22 00:00:00+00:00,75.1330769
2020-02-23 00:00:00+00:00,79.5595153544
2020-02-24 00:00:00+00:00,75.53561999
2020-02-25 00:00:00+00:00,71.18024523
2020-02-26 00:00:00+00:00,61.01430861
2020-02-27 00:00:00+00:00,61.50788573
2020-02-28 00:00:00+00:00,59.76395738
2020-02-29 00:00:00+00:00,58.54326356
2020-03-01 00:00:00+00:00,57.95668772
2020-03-02 00:00:00+00:00,60.99555
2020-03-03 00:00:00+00:00,61.14447561
2020-03-04 00:00:00+00:00,60.38241897
2020-03-05 00:00:00+00:00,62.04545979
2020-03-06 00:00:00+00:00,63.02560065
2020-03-07 00:00:00+00:00,60.54630926
2020-03-08 00:00:00+00:00,51.72860078
2020-03-09 00:00:00+00:00,50.16814728
2020-03-10 00:00:00+00:00,50.25638895
2020-03-11 00:00:00+00:00,48.46378534
2020-03-12 00:00:00+00:00,31.004512577
2020-03-13 00:00:00+00:00,37.43795474
2020-03-14 00:00:00+00:00,34.39658647
2020-03-15 00:00:00+00:00,36.43709163
2020-03-16 00:00:00+00:00,32.8762152
2020-03-17 00:00:00+00:00,33.56387001
2020-03-18 00:00:00+00:00,33.68417723
2020-03-19 00:00:00+00:00,39.07376593
2020-03-20 00:00:00+00:00,38.13195588
2020-03-21 00:00:00+00:00,38.34232788
2020-03-22 00:00:00+00:00,35.62805385
2020-03-23 00:00:00+00:00,38.76576717
2020-03-24 00:00:00+00:00,40.49064582
2020-03-25 00:00:00+00:00,39.15122284
2020-03-26 00:00:00+00:00,40.160597
2020-03-27 00:00:00+00:00,38.91847576
2020-03-28 00:00:00+00:00,38.873758
2020-03-29 00:00:00+00:00,37.33254256
