datetime,litecoin_daily_trading_volume_usd
2019-12-20 00:00:00+00:00,2780176650.0
2019-12-21 00:00:00+00:00,2656348734.0
2019-12-22 00:00:00+00:00,3137487266.0
2019-12-23 00:00:00+00:00,3165989074.0
2019-12-24 00:00:00+00:00,2864002052.0
2019-12-25 00:00:00+00:00,2747976211.0
2019-12-26 00:00:00+00:00,2848327717.0
2019-12-27 00:00:00+00:00,2959217812.0
2019-12-28 00:00:00+00:00,3260638656.0
2019-12-29 00:00:00+00:00,3579803605.0
2019-12-30 00:00:00+00:00,3334110021.0
2019-12-31 00:00:00+00:00,3016704453.0
2020-01-01 00:00:00+00:00,2785417309.0
2020-01-02 00:00:00+00:00,2759827139.0
2020-01-03 00:00:00+00:00,3257109999.0
2020-01-04 00:00:00+00:00,2840044715.0
2020-01-05 00:00:00+00:00,3011233526.0
2020-01-06 00:00:00+00:00,3346910860.0
2020-01-07 00:00:00+00:00,3612634174.0
2020-01-08 00:00:00+00:00,3633957130.0
2020-01-09 00:00:00+00:00,2986327757.0
2020-01-10 00:00:00+00:00,3808140302.0
2020-01-11 00:00:00+00:00,3915781115.0
2020-01-12 00:00:00+00:00,3859863864.0
2020-01-13 00:00:00+00:00,3336204744.0
2020-01-14 00:00:00+00:00,5724216799.0
2020-01-15 00:00:00+00:00,5070738793.0
2020-01-16 00:00:00+00:00,4347723835.0
2020-01-17 00:00:00+00:00,5067456613.0
2020-01-18 00:00:00+00:00,4428093217.0
2020-01-19 00:00:00+00:00,4197776579.0
2020-01-20 00:00:00+00:00,3306438947.0
2020-01-21 00:00:00+00:00,3130115744.0
2020-01-22 00:00:00+00:00,3076205980.0
2020-01-23 00:00:00+00:00,3348002983.0
2020-01-24 00:00:00+00:00,3532776556.0
2020-01-25 00:00:00+00:00,2938756558.0
2020-01-26 00:00:00+00:00,3283750798.0
2020-01-27 00:00:00+00:00,3832184228.0
2020-01-28 00:00:00+00:00,4223084845.0
2020-01-29 00:00:00+00:00,3891227788.0
2020-01-30 00:00:00+00:00,6042169957.0
2020-01-31 00:00:00+00:00,5718104791.0
2020-02-01 00:00:00+00:00,6009767449.0
2020-02-02 00:00:00+00:00,5482993030.0
2020-02-03 00:00:00+00:00,4962547161.0
2020-02-04 00:00:00+00:00,4445519538.0
2020-02-05 00:00:00+00:00,5174155652.0
2020-02-06 00:00:00+00:00,5463272394.0
2020-02-07 00:00:00+00:00,5051951258.0
2020-02-08 00:00:00+00:00,5496860399.0
2020-02-09 00:00:00+00:00,5145711108.0
2020-02-10 00:00:00+00:00,5374543376.0
2020-02-11 00:00:00+00:00,4742120918.0
2020-02-12 00:00:00+00:00,5698394996.0
2020-02-13 00:00:00+00:00,6577270475.0
2020-02-14 00:00:00+00:00,5382846670.0
2020-02-15 00:00:00+00:00,5612667760.0
2020-02-16 00:00:00+00:00,6186098306.0
2020-02-17 00:00:00+00:00,5593944695.0
2020-02-18 00:00:00+00:00,5600214717.0
2020-02-19 00:00:00+00:00,5298677185.0
2020-02-20 00:00:00+00:00,5500324693.0
2020-02-21 00:00:00+00:00,5583328181.0
2020-02-22 00:00:00+00:00,5547090434.0
2020-02-23 00:00:00+00:00,5705496961.0
2020-02-24 00:00:00+00:00,6355612214.0
2020-02-25 00:00:00+00:00,5755711246.0
2020-02-26 00:00:00+00:00,6518313483.0
2020-02-27 00:00:00+00:00,5649302854.0
2020-02-28 00:00:00+00:00,5266399749.0
2020-02-29 00:00:00+00:00,4168117352.0
2020-03-01 00:00:00+00:00,4317287191.0
2020-03-02 00:00:00+00:00,5309970238.0
2020-03-03 00:00:00+00:00,5412760345.0
2020-03-04 00:00:00+00:00,4429853608.0
2020-03-05 00:00:00+00:00,4712202709.0
2020-03-06 00:00:00+00:00,4766934524.0
2020-03-07 00:00:00+00:00,4258036532.0
2020-03-08 00:00:00+00:00,4523736331.0
2020-03-09 00:00:00+00:00,5097423294.0
2020-03-10 00:00:00+00:00,3945792927.0
2020-03-11 00:00:00+00:00,3807551814.0
2020-03-12 00:00:00+00:00,5444868880.0
2020-03-13 00:00:00+00:00,7552238198.0
2020-03-14 00:00:00+00:00,3270465986.0
2020-03-15 00:00:00+00:00,3434485463.0
2020-03-16 00:00:00+00:00,4079630236.0
2020-03-17 00:00:00+00:00,3289527849.0
2020-03-18 00:00:00+00:00,3170415992.0
2020-03-19 00:00:00+00:00,4157185543.0
2020-03-20 00:00:00+00:00,4537692970.0
2020-03-21 00:00:00+00:00,3438721430.0
2020-03-22 00:00:00+00:00,3148219029.0
2020-03-23 00:00:00+00:00,3598154774.0
2020-03-24 00:00:00+00:00,3331925793.0
2020-03-25 00:00:00+00:00,3133347522.0
2020-03-26 00:00:00+00:00,2827963692.0
2020-03-27 00:00:00+00:00,2962853270.0
2020-03-28 00:00:00+00:00,3119837445.0
2020-03-29 00:00:00+00:00,2683734233.0
2020-03-30 00:00:00+00:00,3318334905.0
2020-03-31 00:00:00+00:00,3359087002.0
2020-04-01 00:00:00+00:00,3303999600.0
